## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE metrics/ERR2828406_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT post_aligned/ERR2828406_fixed_sorted.bam --OUTPUT metrics/ERR2828406_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:39:13 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
147	121	35	2	232930161	161.682811	63.878079	40612469	FR	15	29	43	57	71	87	107	133	203	289	501			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	81
3	80
4	87
5	123
6	85
7	120
8	128
9	135
10	140
11	151
12	148
13	172
14	177
15	184
16	180
17	184
18	214
19	642
20	521
21	408
22	315
23	364
24	358
25	366
26	360
27	392
28	388
29	421
30	402
31	434
32	487
33	535
34	524
35	549
36	586
37	624
38	616
39	710
40	720
41	812
42	904
43	956
44	1060
45	1173
46	1220
47	1426
48	1634
49	1794
50	2069
51	2436
52	2799
53	3232
54	3798
55	4494
56	5048
57	5846
58	6870
59	8054
60	9188
61	10832
62	12403
63	14367
64	16642
65	19112
66	21694
67	24984
68	28476
69	32241
70	36656
71	41292
72	45932
73	52270
74	57939
75	63851
76	70966
77	78279
78	85746
79	94091
80	101728
81	111273
82	120041
83	129144
84	138552
85	148280
86	157543
87	166656
88	176432
89	186330
90	196164
91	205243
92	215622
93	224487
94	232885
95	242408
96	250925
97	259313
98	267527
99	275244
100	281846
101	289362
102	294250
103	301467
104	306027
105	311862
106	317576
107	321076
108	325914
109	329321
110	332509
111	335571
112	337776
113	340038
114	342777
115	344374
116	345950
117	346653
118	347579
119	347451
120	347811
121	348991
122	348167
123	347265
124	347139
125	346779
126	345846
127	344966
128	344082
129	343135
130	340093
131	338624
132	336730
133	334009
134	332737
135	330879
136	328356
137	326591
138	322932
139	320761
140	318133
141	315936
142	313035
143	309573
144	307173
145	303675
146	300904
147	298675
148	294638
149	291939
150	289080
151	284581
152	282282
153	279842
154	276193
155	272194
156	270143
157	266601
158	262840
159	259811
160	256750
161	254197
162	250273
163	247168
164	244068
165	241128
166	237389
167	234747
168	231512
169	228935
170	225227
171	221987
172	218233
173	216009
174	213190
175	210725
176	206933
177	204247
178	201558
179	197943
180	195617
181	192638
182	190152
183	187129
184	184465
185	181361
186	179026
187	175946
188	173947
189	171290
190	168177
191	165705
192	163367
193	160729
194	158686
195	156342
196	153649
197	150731
198	148508
199	146223
200	144211
201	141876
202	139612
203	137355
204	135105
205	133229
206	130496
207	128718
208	126464
209	124476
210	122551
211	120624
212	119180
213	116858
214	114593
215	113066
216	111287
217	109660
218	107404
219	105821
220	104591
221	102849
222	101004
223	98915
224	97094
225	95508
226	94226
227	92718
228	91438
229	90006
230	88087
231	86350
232	85491
233	84596
234	82492
235	80781
236	80045
237	78912
238	77487
239	76300
240	74827
241	73533
242	72540
243	71632
244	70292
245	69319
246	68078
247	66381
248	65972
249	64378
250	63342
251	62136
252	61116
253	60271
254	58762
255	58489
256	57610
257	56500
258	55246
259	54443
260	53268
261	52510
262	51830
263	51076
264	49842
265	48902
266	48609
267	47414
268	46755
269	46137
270	45078
271	44260
272	43645
273	43163
274	42316
275	41658
276	41098
277	40423
278	40214
279	38837
280	38467
281	37970
282	37263
283	36211
284	36084
285	35511
286	34800
287	34150
288	33661
289	33293
290	32167
291	32006
292	31372
293	30642
294	30169
295	30091
296	29524
297	29013
298	28445
299	27899
300	27298
301	26700
302	26489
303	25914
304	25922
305	25412
306	24674
307	24582
308	24418
309	24093
310	23212
311	22778
312	22799
313	22331
314	21874
315	21522
316	21127
317	20965
318	20331
319	20163
320	19744
321	19428
322	19264
323	18881
324	18538
325	18323
326	18012
327	17684
328	17340
329	17291
330	16778
331	16397
332	16106
333	16114
334	15730
335	15694
336	15205
337	14873
338	14900
339	14355
340	14420
341	14145
342	14097
343	13652
344	13493
345	13177
346	12968
347	12783
348	12975
349	12615
350	12361
351	11968
352	11762
353	11423
354	11677
355	11438
356	11115
357	10986
358	10748
359	10666
360	10553
361	10181
362	10099
363	9809
364	9790
365	9629
366	9522
367	9165
368	9347
369	9194
370	8883
371	8796
372	8567
373	8576
374	8400
375	8157
376	8055
377	7925
378	7953
379	7800
380	7722
381	7653
382	7471
383	7310
384	7187
385	7146
386	6969
387	6967
388	6763
389	6747
390	6587
391	6565
392	6430
393	6402
394	6255
395	6159
396	6075
397	6024
398	5956
399	5839
400	5752
401	5652
402	5619
403	5448
404	5453
405	5165
406	5409
407	4990
408	4942
409	5025
410	4862
411	4802
412	4720
413	4427
414	4605
415	4462
416	4199
417	4180
418	4059
419	3998
420	4089
421	3880
422	3771
423	3737
424	3756
425	3616
426	3535
427	3563
428	3448
429	3296
430	3381
431	3282
432	3249
433	3216
434	3107
435	3184
436	2995
437	3059
438	2992
439	2868
440	2943
441	2910
442	2794
443	2758
444	2758
445	2651
446	2608
447	2682
448	2559
449	2526
450	2514
451	2500
452	2467
453	2516
454	2424
455	2400
456	2318
457	2277
458	2272
459	2100
460	2307
461	2178
462	2182
463	2120
464	2122
465	2022
466	2004
467	1965
468	1992
469	1956
470	1905
471	1961
472	1911
473	1818
474	1812
475	1783
476	1754
477	1791
478	1765
479	1670
480	1678
481	1715
482	1616
483	1625
484	1592
485	1546
486	1496
487	1491
488	1452
489	1490
490	1471
491	1468
492	1459
493	1464
494	1412
495	1395
496	1344
497	1397

