## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE metrics/ERR2828359_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT post_aligned/ERR2828359_fixed_sorted.bam --OUTPUT metrics/ERR2828359_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:51:41 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
168	128	46	2	242919272	187.548312	82.869395	56603023	FR	19	37	55	75	93	115	139	171	265	373	615			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	141
3	129
4	152
5	166
6	195
7	200
8	214
9	223
10	218
11	255
12	265
13	248
14	307
15	307
16	335
17	328
18	371
19	669
20	585
21	491
22	517
23	527
24	500
25	515
26	518
27	563
28	561
29	585
30	621
31	652
32	675
33	642
34	765
35	779
36	799
37	842
38	911
39	935
40	992
41	1082
42	1153
43	1277
44	1326
45	1456
46	1576
47	1802
48	2018
49	2284
50	2581
51	2749
52	3216
53	3410
54	3942
55	4612
56	5229
57	5930
58	6827
59	7984
60	9263
61	10769
62	12155
63	14253
64	16124
65	18504
66	21044
67	24218
68	27499
69	31126
70	34757
71	39214
72	44032
73	49341
74	55251
75	61565
76	68039
77	74647
78	81866
79	89423
80	97874
81	105923
82	114280
83	123742
84	132563
85	141569
86	151224
87	160479
88	169939
89	179772
90	190012
91	198907
92	207968
93	217298
94	226700
95	235848
96	244725
97	253163
98	261580
99	269953
100	277571
101	284912
102	291005
103	298751
104	304310
105	310440
106	315923
107	322920
108	327496
109	330768
110	336124
111	340416
112	343289
113	348506
114	350322
115	354769
116	356664
117	358741
118	360815
119	363912
120	364699
121	365943
122	367021
123	370055
124	370178
125	371637
126	370630
127	371887
128	372459
129	372361
130	371858
131	372433
132	371853
133	371582
134	371958
135	370292
136	368717
137	368497
138	367349
139	367841
140	366531
141	364200
142	363626
143	361327
144	359786
145	359127
146	358095
147	356901
148	354396
149	353480
150	349714
151	349253
152	346884
153	345153
154	342718
155	340388
156	339101
157	336256
158	334828
159	332996
160	331362
161	328927
162	325663
163	323321
164	321626
165	319014
166	317053
167	314376
168	312732
169	310755
170	307921
171	305336
172	302205
173	300118
174	297874
175	295379
176	293325
177	290372
178	287852
179	285141
180	283822
181	280717
182	278169
183	275300
184	273369
185	271131
186	268455
187	265070
188	263366
189	260902
