## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE metrics/ERR2828404_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT post_aligned/ERR2828404_fixed_sorted.bam --OUTPUT metrics/ERR2828404_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:36:07 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
158	130	38	2	237642438	172.30821	65.509644	36723248	FR	15	31	45	61	77	95	113	141	207	287	465			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	54
3	65
4	68
5	69
6	84
7	81
8	78
9	94
10	91
11	77
12	103
13	82
14	104
15	101
16	106
17	115
18	116
19	335
20	272
21	217
22	201
23	152
24	152
25	171
26	228
27	194
28	211
29	236
30	221
31	243
32	274
33	242
34	250
35	262
36	286
37	281
38	288
39	313
40	347
41	363
42	385
43	463
44	463
45	500
46	509
47	577
48	632
49	710
50	779
51	890
52	979
53	1187
54	1380
55	1578
56	1840
57	2072
58	2324
59	2879
60	3400
61	3858
62	4633
63	5258
64	6286
65	7033
66	8290
67	9483
68	11243
69	13011
70	15082
71	17198
72	19322
73	22307
74	25117
75	28671
76	32448
77	36814
78	41040
79	45743
80	50644
81	55788
82	61752
83	68233
84	73954
85	81057
86	88017
87	95491
88	102394
89	110552
90	118045
91	126069
92	133676
93	141758
94	151175
95	158134
96	165642
97	173033
98	181302
99	188146
100	195879
101	203026
102	209622
103	216061
104	223101
105	228754
106	234299
107	239984
108	245224
109	249723
110	253695
111	259308
112	262921
113	266991
114	269444
115	273035
116	275592
117	278344
118	280763
119	282958
120	284851
121	285875
122	287588
123	287578
124	287895
125	290448
126	291206
127	291139
128	291543
129	291722
130	291879
131	290463
132	289711
133	290337
134	289431
135	289089
136	287133
137	287862
138	285474
139	284335
140	283197
141	281542
142	280373
143	278815
144	277194
145	276538
146	273478
147	272662
148	270973
149	269114
150	266543
151	264882
152	263263
153	260756
154	257746
155	256996
156	253541
157	251941
158	250060
159	247522
160	244980
161	242752
162	241136
163	238529
164	236021
165	233974
166	231385
167	229663
168	226194
169	224809
170	223498
171	218652
172	217689
173	213937
174	212107
175	209270
176	206306
177	204081
178	202424
179	200939
180	198794
181	195027
182	192133
183	191404
184	187862
185	186030
186	184228
187	181393
188	179207
