## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE metrics/ERR2828357_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT post_aligned/ERR2828357_fixed_sorted.bam --OUTPUT metrics/ERR2828357_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:42:06 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
168	133	45	2	240632905	186.281996	79.713255	43426988	FR	19	35	53	71	91	111	135	167	253	357	591			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	104
3	115
4	128
5	145
6	135
7	142
8	163
9	181
10	214
11	228
12	231
13	228
14	270
15	269
16	296
17	295
18	317
19	542
20	508
21	464
22	429
23	450
24	431
25	408
26	461
27	511
28	484
29	552
30	547
31	576
32	572
33	610
34	675
35	661
36	741
37	683
38	829
39	883
40	897
41	896
42	1047
43	1114
44	1179
45	1261
46	1377
47	1537
48	1695
49	1880
50	2117
51	2294
52	2546
53	2890
54	3251
55	3688
56	4381
57	4921
58	5488
59	6089
60	6911
61	7937
62	9221
63	10421
64	11659
65	13323
66	14863
67	17197
68	19195
69	21598
70	24626
71	27105
72	30244
73	33723
74	37433
75	41332
76	45417
77	50096
78	54792
79	60248
80	65727
81	71273
82	77542
83	83962
84	89485
85	96231
86	102112
87	109115
88	116054
89	123555
90	130825
91	138096
92	145307
93	152133
94	158688
95	165782
96	172944
97	179789
98	186973
99	192846
100	199392
101	205918
102	211996
103	217872
104	223979
105	229266
106	234228
107	238025
108	242951
109	246929
110	251975
111	255641
112	259260
113	264056
114	266762
115	269834
116	271833
117	274305
118	276506
119	279072
120	280838
121	282899
122	285296
123	286876
124	287989
125	289629
126	290798
127	290394
128	292189
129	292519
130	292614
131	293316
132	293284
133	293731
134	292488
135	293696
136	292825
137	293140
138	293336
139	293165
140	291331
141	290193
142	290479
143	288627
144	287634
145	287780
146	286719
147	284917
148	284045
149	283184
150	282797
151	280865
152	279335
153	277798
154	276656
155	275213
156	273438
157	271469
158	269229
159	268161
160	266967
161	264351
162	263093
163	260426
164	259305
165	256480
166	255013
167	253273
168	251273
169	249268
170	247842
171	245392
172	242157
173	240647
174	238872
175	237645
176	234853
177	232304
178	230320
179	228922
180	227240
181	225163
182	222381
183	220560
184	219616
185	216865
186	213827
