## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE metrics/ERR2828403_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT post_aligned/ERR2828403_fixed_sorted.bam --OUTPUT metrics/ERR2828403_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:36:08 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
161	134	36	2	242321499	174.625424	63.493086	37300340	FR	15	29	43	57	73	89	109	135	199	281	469			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	55
3	57
4	66
5	72
6	75
7	74
8	97
9	98
10	98
11	99
12	116
13	135
14	115
15	102
16	148
17	137
18	142
19	318
20	277
21	230
22	197
23	209
24	204
25	213
26	158
27	225
28	205
29	232
30	250
31	203
32	256
33	238
34	241
35	322
36	269
37	323
38	336
39	354
40	393
41	355
42	385
43	392
44	451
45	457
46	458
47	477
48	543
49	579
50	630
51	690
52	783
53	810
54	881
55	965
56	1070
57	1291
58	1406
59	1639
60	1904
61	1974
62	2383
63	2753
64	3130
65	3633
66	4226
67	4796
68	5648
69	6499
70	7502
71	8462
72	9930
73	11074
74	13017
75	14739
76	16873
77	19336
78	21809
79	25061
80	28039
81	31719
82	35220
83	39470
84	43930
85	49428
86	54546
87	59745
88	65409
89	72207
90	78361
91	84511
92	92754
93	99861
94	108022
95	115444
96	123764
97	131649
98	140570
99	148926
100	156251
101	165990
102	173085
103	182746
104	190439
105	199547
106	207337
107	214826
108	223110
109	228800
110	236064
111	243696
112	248866
113	256084
114	261005
115	268597
116	272459
117	276574
118	281760
119	284968
120	288121
121	293661
122	295863
123	298865
124	301705
125	303232
126	305256
127	307147
128	308580
129	310857
130	311048
131	312172
132	311774
133	312274
134	312764
135	312139
136	312117
137	311256
138	311521
139	309863
140	309454
141	307331
142	306909
143	305862
144	304706
145	301717
146	300746
147	300092
148	297217
149	295334
150	293410
151	291714
152	288037
153	286496
154	284598
155	282994
156	279792
157	278094
158	275456
159	273089
160	269776
161	267137
162	264133
163	261344
164	259964
165	257239
166	254439
167	251725
168	248897
169	246101
170	244084
171	240588
172	237559
173	235658
174	232614
175	229959
176	226914
177	223810
178	221765
179	217642
180	215648
181	212905
182	210502
183	207034
184	204040
185	201194
186	198669
187	196258
188	193452
189	191351
190	188784
191	186301
192	183784
193	180155
194	179333
195	175775
196	173801
197	170438
198	169133
199	166363
200	164039
201	161389
202	159084
203	157117
204	154294
205	152305
206	149800
207	147035
208	145574
209	143128
210	142189
211	138683
212	136844
213	134208
214	133354
215	131603
216	129134
217	126602
218	124637
219	122535
220	121078
221	119503
222	117081
223	115107
224	113605
225	111569
226	110758
227	108372
228	107040
229	105372
230	103566
231	101840
232	100155
233	99033
234	97070
235	95213
236	94033
237	92435
238	90733
239	89213
240	88140
241	86156
242	85177
243	83301
244	82650
245	81271
246	80030
247	78852
248	77601
249	76064
250	75417
251	73376
252	72129
253	71133
254	69894
255	68590
256	67923
257	66572
258	65951
259	64538
260	63690
261	62182
262	61263
263	60167
264	58975
265	58286
266	57629
267	56152
268	55353
269	54534
270	53809
271	52493
272	51736
273	50927
274	50276
275	49601
276	48287
277	47742
278	46484
279	45911
280	45108
281	44348
282	43372
283	43210
284	42380
285	41764
286	41099
287	40265
288	39615
289	38845
290	38239
291	37661
292	36964
293	36413
294	35800
295	35366
296	34605
297	34169
298	33149
299	33112
300	32285
301	31912
302	31499
303	30699
304	30010
305	29622
306	29020
307	28796
308	28327
309	28070
310	27102
311	26536
312	26292
313	26203
314	25416
315	25182
316	24479
317	24244
318	23652
319	23086
320	23077
321	22637
322	22422
323	21964
324	21471
325	21254
326	20738
327	20368
328	20243
329	19834
330	19287
331	18912
332	18835
333	18215
334	18010
335	18030
336	17485
337	17102
338	16884
339	16687
340	16191
341	16163
342	15933
343	15413
344	15469
345	14852
346	14820
347	14533
348	14252
349	13927
350	13683
351	13434
352	13303
353	13078
354	12768
355	12663
356	12206
357	12184
358	12153
359	11635
360	11596
361	11166
362	11193
363	11079
364	10802
365	10831
366	10497
367	10121
368	10179
369	9756
370	9619
371	9535
372	9451
373	9498
374	9129
375	8921
376	8838
377	8645
378	8422
379	8434
380	8361
381	8077
382	7880
383	7797
384	7688
385	7704
386	7382
387	7297
388	7223
389	7082
390	6946
391	6902
392	6655
393	6638
394	6507
395	6326
396	6339
397	6153
398	5952
399	5866
400	5738
401	5610
402	5680
403	5466
404	5442
405	5382
406	5211
407	5116
408	5069
409	4993
410	4840
411	4768
412	4729
413	4734
414	4627
415	4606
416	4376
417	4540
418	4303
419	4326
420	3951
421	3935
422	4032
423	3962
424	3828
425	3803
426	3680
427	3447
428	3531
429	3487
430	3342
431	3279
432	3302
433	3205
434	3171
435	2975
436	2897
437	2899
438	2811
439	2826
440	2664
441	2658
442	2626
443	2566
444	2478
445	2386
446	2320
447	2366
448	2320
449	2263
450	2276
451	2167
452	2155
453	2152
454	2116
455	1999
456	2051
457	2015
458	2025
459	1949
460	1973
461	1888
462	1807
463	1732
464	1786
465	1711
466	1656
467	1704
468	1659
469	1588
470	1578
471	1572
472	1553
473	1560
474	1438
475	1404
476	1412
477	1390
478	1344
479	1381
480	1311
481	1349
482	1311
483	1293
484	1284
485	1214
486	1274
487	1244
488	1176
489	1163
490	1139
491	1130
492	1109
493	1068
494	1062
495	1070
496	1022
497	1043
498	997
499	939
500	974
501	932
502	915
503	921
504	950
505	925
506	890
507	850
508	866
509	780
510	793
511	794
512	777
513	808
514	749
515	747
516	702
517	714
518	692
519	694
520	716
521	683

