## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE metrics/ERR2828367_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT post_aligned/ERR2828367_fixed_sorted.bam --OUTPUT metrics/ERR2828367_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:40:45 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
168	132	46	2	242328049	187.442771	81.6354	42773534	FR	19	37	55	73	93	113	137	169	261	367	609			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	101
3	92
4	116
5	112
6	120
7	141
8	141
9	131
10	161
11	187
12	184
13	216
14	216
15	201
16	245
17	244
18	262
19	446
20	398
21	348
22	343
23	328
24	358
25	367
26	368
27	338
28	394
29	413
30	412
31	453
32	412
33	469
34	518
35	509
36	525
37	539
38	569
39	629
40	690
41	717
42	749
43	780
44	872
45	904
46	1048
47	1166
48	1293
49	1528
50	1611
51	1857
52	2127
53	2477
54	2850
55	3190
56	3673
57	4238
58	4805
59	5819
60	6627
61	7326
62	8565
63	9855
64	11369
65	12902
66	14899
67	16764
68	19278
69	21942
70	24898
71	27886
72	31190
73	34744
74	38301
75	42640
76	46769
77	51924
78	57442
79	62150
80	68025
81	73719
82	80280
83	86748
84	92558
85	99845
86	106951
87	113802
88	119677
89	127471
90	134586
91	141434
92	149200
93	155603
94	162457
95	169355
96	176636
97	181729
98	188288
99	194550
100	200654
101	206752
102	212765
103	217648
104	222605
105	226945
106	232457
107	236697
108	241256
109	245654
110	249185
111	251765
112	254513
113	258540
114	262471
115	264143
116	267787
117	270234
118	271331
119	273913
120	275923
121	277552
122	280059
123	279530
124	281269
125	282099
126	283440
127	284127
128	285075
129	286110
130	285611
131	284803
132	286783
133	285456
134	286081
135	284731
136	285557
137	284264
138	284868
139	283456
140	282801
141	283342
142	280784
143	280154
144	278319
145	277394
146	276989
147	274726
148	273713
149	273030
150	270980
151	269189
152	268301
153	266123
154	264825
155	263527
156	261843
157	258818
158	258767
159	257282
160	254678
161	253396
162	251804
163	250417
164	247647
165	245851
166	243733
167	241939
168	241429
169	237591
170	236592
171	234697
172	232822
173	231413
174	228322
175	227076
176	225339
177	223474
178	221176
179	219973
180	217306
181	215532
182	213856
183	211978
184	209973
185	208646
186	205958
187	204560
