## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE metrics/ERR2828368_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT post_aligned/ERR2828368_fixed_sorted.bam --OUTPUT metrics/ERR2828368_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Jul 01 11:41:15 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
170	128	46	2	245289390	189.027435	82.899127	44101977	FR	19	37	55	75	93	115	139	171	263	373	621			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	71
3	104
4	94
5	111
6	105
7	129
8	127
9	153
10	176
11	164
12	188
13	187
14	207
15	216
16	207
17	213
18	230
19	843
20	681
21	437
22	390
23	371
24	361
25	345
26	291
27	349
28	386
29	398
30	394
31	420
32	422
33	453
34	437
35	475
36	466
37	539
38	581
39	556
40	597
41	623
42	704
43	778
44	765
45	818
46	885
47	993
48	1152
49	1292
50	1451
51	1579
52	1802
53	2087
54	2382
55	2714
56	3216
57	3552
58	4167
59	4708
60	5330
61	6266
62	7286
63	8515
64	9771
65	11232
66	12933
67	14823
68	16997
69	19419
70	21998
71	25158
72	28170
73	31733
74	36093
75	39748
76	44852
77	49506
78	55027
79	60099
80	65824
81	71511
82	77806
83	85305
84	91483
85	98353
86	106319
87	112715
88	120771
89	128119
90	135148
91	143389
92	150689
93	157594
94	165506
95	171791
96	179196
97	186263
98	192789
99	199368
100	206167
101	213289
102	218360
103	223934
104	229465
105	234126
106	239584
107	244148
108	248802
109	252358
110	256725
111	259405
112	262093
113	266303
114	269087
115	271852
116	274165
117	275601
118	278159
119	280679
120	283203
121	284500
122	286257
123	286942
124	287397
125	288504
126	288493
127	289899
128	291997
129	291516
130	290172
131	290831
132	290533
133	290985
134	291281
135	290910
136	289371
137	289113
138	288667
139	288079
140	287651
141	286393
142	284965
143	284536
144	283018
145	282187
146	282275
147	280239
148	278792
149	278516
150	276700
151	274691
152	273920
153	272978
154	270097
155	268145
156	267762
157	265752
158	264380
159	262911
160	261380
161	259618
162	257133
163	255682
164	254905
165	252070
166	250513
167	248363
168	246298
169	245178
170	243748
171	241528
172	239262
173	238516
174	235696
175	232881
176	232305
177	230484
178	228178
179	226499
180	225265
181	222688
182	220867
183	218809
184	216074
185	214372
186	212838
187	210937
