## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics --Histogram_FILE /users/PYS1149/joyita/Geval/metrics/SRR11389057_InsertSize_histogram.pdf --MINIMUM_PCT 0.5 --INPUT /users/PYS1149/joyita/Geval/post_aligned/SRR11389057_fixed_sorted.bam --OUTPUT /users/PYS1149/joyita/Geval/metrics/SRR11389057_InsertSize.txt --DEVIATIONS 10.0 --METRIC_ACCUMULATION_LEVEL ALL_READS --INCLUDE_DUPLICATES false --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 2 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sat Apr 05 07:26:42 EDT 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
65	55	22	2	213217203	71.167489	36.891696	12461431	FR	9	17	27	35	45	55	69	85	111	157	249			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
2	32
3	16
4	23
5	22
6	44
7	57
8	80
9	82
10	22125
11	26018
12	30153
13	33177
14	36167
15	41406
16	45759
17	50588
18	52423
19	59159
20	63564
21	66309
22	70121
23	75592
24	77347
25	81984
26	85452
27	90411
28	91650
29	95588
30	101889
31	107887
32	109630
33	114356
34	115816
35	119480
36	121745
37	125405
38	132061
39	131776
40	135782
41	137904
42	139021
43	139833
44	140054
45	141641
46	146443
47	144191
48	146881
49	148555
50	153036
51	153995
52	146090
53	155495
54	155989
55	161324
56	156369
57	158956
58	155531
59	159140
60	160034
61	158474
62	156497
63	154235
64	154661
65	154973
66	149683
67	146912
68	147849
69	147993
70	146720
71	145637
72	140692
73	139700
74	137782
75	132305
76	130802
77	127998
78	124820
79	124308
80	124459
81	115773
82	115181
83	115643
84	111254
85	106029
86	106454
87	100445
88	100505
89	93719
90	91840
91	95517
92	90119
93	88623
94	82611
95	79292
96	78279
97	74417
98	71912
99	69201
100	69228
101	68709
102	64987
103	62527
104	61001
105	59992
106	58118
107	54134
108	54216
109	49771
110	51132
111	48215
112	47373
113	46046
114	45796
115	42398
116	42792
117	41267
118	39979
119	37255
120	37655
121	35417
122	37057
123	34695
124	35331
125	33371
126	32867
127	29843
128	30602
129	28635
130	27892
131	26364
132	26218
133	25329
134	24723
135	24562
136	22561
137	24234
138	23214
139	21037
140	20915
141	20267
142	20857
143	18561
144	19151
145	17744
146	19365
147	18179
148	16882
149	17267
150	15828
151	15516
152	15396
153	13699
154	13965
155	13118
156	14199
157	12996
158	12806
159	12514
160	12656
161	10957
162	11508
163	10804
164	11590
165	9975
166	10072
167	9581
168	9789
169	9577
170	8714
171	8836
172	8882
173	7851
174	7998
175	7246
176	7072
177	7236
178	6318
179	6746
180	6780
181	6275
182	6533
183	5768
184	6374
185	5693
186	5386
187	4932
188	4813
189	4903
190	4864
191	4643
192	3970
193	4261
194	4070
195	3903
196	3794
197	3244
198	3569
199	3622
200	3188
201	3115
202	3329
203	2982
204	2632
205	2815
206	2801
207	2542
208	2576
209	2239
210	2185
211	2269
212	1986
213	1779
214	1952
215	1827
216	1735
217	1845
218	1730
219	1435
220	1440
221	1402
222	1315
223	1208
224	1172
225	1369
226	1286
227	1185
228	989
229	912
230	950
231	1051
232	1028
233	757
234	787
235	645
236	788
237	773
238	659
239	714
240	646
241	510
242	572
243	559
244	528
245	435
246	353
247	380
248	476
249	362
250	387
251	364
252	239
253	247
254	279
255	264
256	364
257	226
258	248
259	174
260	283
261	217
262	191
263	118
264	148
265	180
266	127
267	96
268	132
269	129
270	145
271	110
272	104
273	99
274	88
275	97
276	82
277	84
278	68
279	66
280	56
281	74
282	60
283	21
284	35
285	39

